question_id,question_statement,question_answer_key,question_image,answer_image,question_explaination,reference_link_1,reference_link_2
Question1,"DRAG DROP -Match the cloud model to the correct advantage.Instructions: To answer, drag the appropriate cloud model from the column on the left to its advantage on the right. Each cloud model may be used once, more than once, or not at all.NOTE: Each correct match is worth one pointSelect and Place:",,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-57_1.png,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-57_2.png,"Explanation:Box 1: Public Cloud -With a public cloud, there is no capital expenditure on server hardware etc.  You only pay for cloud resources that you use as you use them.Box 2: Private Cloud -A private cloud exists on premises, so you have complete control over security.Box 3: Hybrid Cloud -A hybrid cloud is a mix of public cloud resources and on-premises resources.  Therefore, you have a choice to use either.",,
Question2,"HOTSPOT -For each of the following statements, select Yes if the statement is true. Otherwise, select No.NOTE: Each correct selection is worth one point.Hot Area:",,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-58_1.jpg,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-59_1.jpg,"Explanation:Box 1: No -You cannot add physical servers to the public cloud.  You can only deploy virtual servers in the public cloud.  You can extend a private cloud by deploying virtual servers in a public cloud.  This would create a hybrid cloud.Box 2: Yes -A hybrid cloud is a combination of a private cloud and public cloud.  Therefore, to create a hybrid cloud, you must deploy resources to a public cloud.Box 3: No.It is not true that a private cloud must be disconnected from the Internet.  Private clouds can be and most commonly are connected to the Internet.  ג€Private cloudג€ means that the physical servers are managed by you.  It does not mean that it is disconnected from the Internet.",https://azure.microsoft.com/en-gb/overview/what-are-private-public-hybrid-clouds/,
Question3,You have 50 virtual machines hosted on-premises and 50 virtual machines hosted in Azure. The on-premises virtual machines and the Azure virtual machines connect to each other.Which type of cloud model is this?,A,,,References:,https://azure.microsoft.com/en-gb/overview/what-is-hybrid-cloud-computing/,
Question4,"HOTSPOT -For each of the following statements, select Yes if the statement is true. Otherwise, select No.NOTE: Each correct selection is worth one point.Hot Area:",,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-61_1.jpg,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-62_1.jpg,"Explanation:Box 1: No -A PaaS solution does not provide access to the operating system.  The Azure Web Apps service provides an environment for you to host your web applications.Behind the scenes, the web apps are hosted on virtual machines running IIS.  However, you have no direct access to the virtual machine, the operating system orIIS.Box 2: Yes -Box 3: Yes -A PaaS solution that hosts web apps in Azure does provide the ability to scale the platform automatically. This is known as autoscaling.  Behind the scenes, the web apps are hosted on virtual machines running IIS.  Autoscaling means adding more load balanced virtual machines to host the web apps.References:",https://azure.microsoft.com/en-gb/overview/what-is-paas/,
Question5,"Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution.After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen.Your company plans to migrate all its data and resources to Azure.The companyג€™s migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure.You need to deploy an Azure environment that meets the company migration plan.Solution: You create Azure virtual machines, Azure SQL databases, and Azure Storage accounts.Does this meet the goal?",B,,,"Explanation:Platform as a service (PaaS) is a complete development and deployment environment in the cloud. PaaS includes infrastructure ג€"" servers, storage, and networking ג€"" but also middleware, development tools, business intelligence (BI) services, database management systems, and more. PaaS is designed to support the complete web application lifecycle: building, testing, deploying, managing, and updating.However, virtual machines are examples of Infrastructure as a service (IaaS). IaaS is an instant computing infrastructure, provisioned and managed over the internet.References:",https://azure.microsoft.com/en-us/overview/what-is-paas/https://azure.microsoft.com/en-us/overview/what-is-iaas/,
Question6,Your company plans to deploy several custom applications to Azure. The applications will provide invoicing services to the customers of the company. Each application will have several prerequisite applications and services installed.You need to recommend a cloud deployment solution for all the applications.What should you recommend?,C,,,"Explanation:Infrastructure as a service (IaaS) is an instant computing infrastructure, provisioned and managed over the internet. The IaaS service provider manages the infrastructure, while you purchase, install, configure, and manage your own softwareIncorrect Answers:A: Software as a service (SaaS) allows users to connect to and use cloud-based apps over the Internet. Common examples are email, calendaring, and office tools. In this scenario, you need to run your own apps, and therefore require an infrastructure.B:Platform as a service (PaaS) is a complete development and deployment environment in the cloud. PaaS includes infrastructureג€""servers, storage, and networkingג€""but also middleware, development tools, business intelligence (BI) services, database management systems, and more. PaaS is designed to support the complete web application lifecycle: building, testing, deploying, managing, and updating.References:",https://azure.microsoft.com/en-us/overview/what-is-iaas/https://azure.microsoft.com/en-us/overview/what-is-saas/https://azure.microsoft.com/en-us/overview/what-is-paas/,
Question7,"HOTSPOT -For each of the following statements, select Yes if the statement is true. Otherwise, select No.NOTE: Each correct selection is worth one point.Hot Area:",,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-65_1.png,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-66_1.png,"Explanation:Box 1: No -Building a data center infrastructure is capital expenditure, not operation expenditure.Box 2: Yes -OpEx is ongoing costs (costs of operations) such as staff salaries.Box 2: Yes -OpEx is ongoing costs (costs of operations) such as leasing software.  If you purchased software as a one-off purchase, that would be CapEx, but leasing software is ongoing so itג€™s OpEx.",,
Question8,"HOTSPOT -To complete the sentence, select the appropriate option in the answer area.Hot Area:",,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-67_1.jpg,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-67_2.jpg,Explanation:Azure Cosmos DB is an example of a platform as a service (PaaS) cloud database provider.,https://docs.microsoft.com/en-us/azure/cosmos-db/database-security,
Question9,"HOTSPOT -For each of the following statements, select Yes if the statement is true. Otherwise, select No.NOTE: Each correct selection is worth one point.Hot Area:",,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-68_1.png,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-68_2.png,,https://azure.microsoft.com/en-us/overview/what-is-saas/https://azure.microsoft.com/en-us/overview/what-is-iaas/https://azure.microsoft.com/en-us/overview/what-is-paas/,
Question10,"HOTSPOT -For each of the following statements, select Yes if the statement is true. Otherwise, select No.NOTE: Each correct selection is worth one point.Hot Area:",,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-69_1.png,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-70_1.png,Explanation:Box 1: No -Box 2: No -Each resource can exist in only one resource group.Box 3: Yes -Resources from multiple different regions can be placed in a resource group.  The resource group only contains metadata about the resources it contains. ,https://docs.microsoft.com/en-us/azure/azure-resource-manager/resource-group-overview,https://www.codeisahighway.com/effective-ways-to-delete-resources-in-a-resource-group-on-azure/
Question11,"HOTSPOT -For each of the following statements, select Yes if the statement is true. Otherwise, select No.NOTE: Each correct selection is worth one point.Hot Area:",,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-71_1.png,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-71_2.png,  ,,
Question12,"HOTSPOT -To complete the sentence, select the appropriate option in the answer area.Hot Area:",,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-72_1.png,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-72_2.png,,https://docs.microsoft.com/en-us/azure/azure-sql/azure-sql-iaas-vs-paas-what-is-overview,
Question13,Your company plans to migrate all its data and resources to Azure.The companyג€™s migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure.You need to deploy an Azure environment that meets the companyג€™s migration plan.What should you create?,C,,,"Explanation:Azure App Service and Azure SQL databases are examples of Azure PaaS solutions. Therefore, this solution does meet the goal.",,
Question14,What does a customer provide in a software as a service (SaaS) model?,A,,,"Explanation:SaaS provides a complete software solution which you purchase on a pay-as-you-go basis from a cloud service provider. You rent the use of an app for your organization and your users connect to it over the Internet, usually with a web browser. All of the underlying infrastructure, middleware, app software and app data are located in the service providerג€™s data center. The service provider manages the hardware and software and with the appropriate service agreement, will ensure the availability and the security of the app and your data as well.",https://azure.microsoft.com/en-in/overview/what-is-saas/,
Question15,"HOTSPOT -For each of the following statements, select Yes if the statement is true. Otherwise, select No.NOTE: Each correct selection is worth one point.Hot Area:",,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-74_1.png,https://www.itexams.com/static/img/exams/Microsoft-AZ-900-1.0/xmlfile-74_2.png,,https://azure.microsoft.com/en-gb/overview/what-is-iaas/https://azure.microsoft.com/en-gb/overview/what-is-paas/https://azure.microsoft.com/en-gb/overview/what-is-saas/,
